Account,Campaign,Ad group,Ad group status
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Nürnberg,Enabled
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Erlangen Fürth,Enabled
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Bamberg,Enabled
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Bayreuth Hof,Enabled
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Würzburg,Enabled
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Schweinfurt,Enabled
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Regensburg,Enabled
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Ingolstadt,Enabled
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Franken Allgemein,Enabled
323-230-6543,DE | Search | Autoankauf | Franken | V4,Auto Sofort Verkaufen,Enabled
323-230-6543,DE | Search | Autoankauf | Franken | V4,Unfallwagen Ankauf,Enabled
323-230-6543,DE | Search | Autoankauf | Franken | V4,Motorschaden Ankauf,Enabled
323-230-6543,DE | Search | Autoankauf | Franken | V4,Auto Ohne TÜV,Enabled
323-230-6543,DE | Search | Autoankauf | Franken | V4,Gebrauchtwagen Export,Enabled
323-230-6543,DE | Search | Autoankauf | Franken | V4,Premium Marken Ankauf,Enabled
