Account,Campaign,Ad group,Keyword,Criterion Type,Max CPC,Status,Final URL
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Nürnberg,[autoankauf nürnberg],Keyword,8.00,Enabled,https://frankenautoankauf24.de/autoankauf/nuernberg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Nürnberg,"autoankauf nürnberg",Keyword,8.00,Enabled,https://frankenautoankauf24.de/autoankauf/nuernberg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Nürnberg,[auto verkaufen nürnberg],Keyword,8.00,Enabled,https://frankenautoankauf24.de/autoankauf/nuernberg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Nürnberg,"auto verkaufen nürnberg",Keyword,8.00,Enabled,https://frankenautoankauf24.de/autoankauf/nuernberg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Nürnberg,[gebrauchtwagen ankauf nürnberg],Keyword,7.50,Enabled,https://frankenautoankauf24.de/autoankauf/nuernberg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Nürnberg,[pkw ankauf nürnberg],Keyword,7.00,Enabled,https://frankenautoankauf24.de/autoankauf/nuernberg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Nürnberg,[auto ankauf nürnberg bestpreis],Keyword,8.50,Enabled,https://frankenautoankauf24.de/autoankauf/nuernberg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Erlangen Fürth,[autoankauf erlangen],Keyword,7.50,Enabled,https://frankenautoankauf24.de/autoankauf/erlangen
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Erlangen Fürth,"autoankauf erlangen",Keyword,7.50,Enabled,https://frankenautoankauf24.de/autoankauf/erlangen
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Erlangen Fürth,[auto verkaufen erlangen],Keyword,7.50,Enabled,https://frankenautoankauf24.de/autoankauf/erlangen
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Erlangen Fürth,[autoankauf fürth],Keyword,7.50,Enabled,https://frankenautoankauf24.de/autoankauf/fuerth
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Erlangen Fürth,"autoankauf fürth",Keyword,7.50,Enabled,https://frankenautoankauf24.de/autoankauf/fuerth
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Erlangen Fürth,[auto verkaufen fürth],Keyword,7.50,Enabled,https://frankenautoankauf24.de/autoankauf/fuerth
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Erlangen Fürth,[autoankauf schwabach],Keyword,6.50,Enabled,https://frankenautoankauf24.de/autoankauf/schwabach
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Erlangen Fürth,[autoankauf herzogenaurach],Keyword,6.00,Enabled,https://frankenautoankauf24.de/autoankauf/herzogenaurach
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Bamberg,[autoankauf bamberg],Keyword,7.00,Enabled,https://frankenautoankauf24.de/autoankauf/bamberg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Bamberg,"autoankauf bamberg",Keyword,7.00,Enabled,https://frankenautoankauf24.de/autoankauf/bamberg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Bamberg,[auto verkaufen bamberg],Keyword,7.00,Enabled,https://frankenautoankauf24.de/autoankauf/bamberg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Bamberg,[gebrauchtwagen ankauf bamberg],Keyword,6.50,Enabled,https://frankenautoankauf24.de/autoankauf/bamberg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Bamberg,[autoankauf forchheim],Keyword,6.00,Enabled,https://frankenautoankauf24.de/autoankauf/forchheim
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Bamberg,[auto verkaufen forchheim],Keyword,6.00,Enabled,https://frankenautoankauf24.de/autoankauf/forchheim
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Bayreuth Hof,[autoankauf bayreuth],Keyword,6.50,Enabled,https://frankenautoankauf24.de/autoankauf/bayreuth
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Bayreuth Hof,"autoankauf bayreuth",Keyword,6.50,Enabled,https://frankenautoankauf24.de/autoankauf/bayreuth
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Bayreuth Hof,[auto verkaufen bayreuth],Keyword,6.50,Enabled,https://frankenautoankauf24.de/autoankauf/bayreuth
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Bayreuth Hof,[autoankauf hof],Keyword,5.50,Enabled,https://frankenautoankauf24.de/autoankauf/hof
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Bayreuth Hof,[auto verkaufen hof],Keyword,5.50,Enabled,https://frankenautoankauf24.de/autoankauf/hof
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Bayreuth Hof,[autoankauf kulmbach],Keyword,5.50,Enabled,https://frankenautoankauf24.de/autoankauf/kulmbach
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Bayreuth Hof,[autoankauf coburg],Keyword,6.00,Enabled,https://frankenautoankauf24.de/autoankauf/coburg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Würzburg,[autoankauf würzburg],Keyword,7.50,Enabled,https://frankenautoankauf24.de/autoankauf/wuerzburg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Würzburg,"autoankauf würzburg",Keyword,7.50,Enabled,https://frankenautoankauf24.de/autoankauf/wuerzburg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Würzburg,[auto verkaufen würzburg],Keyword,7.50,Enabled,https://frankenautoankauf24.de/autoankauf/wuerzburg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Würzburg,[gebrauchtwagen ankauf würzburg],Keyword,7.00,Enabled,https://frankenautoankauf24.de/autoankauf/wuerzburg
323-230-6543,DE | Search | Autoankauf | Franken | V4,Autoankauf Würzburg,[autoankauf kitzingen],Keyword,5.50,Enabled,https://frankenautoankauf24.de/autoankauf/kitzingen
